id,symbol,type,entry,exit_price,pnl,pips,volume,time,exit_time,duration_minutes,strategy,result,comment
4203135225,Volatility 10 Index,BUY,6156.926,6158.274,0.67,13479.999999999563,0.5,2025-04-20 18:07:44,2025-04-20 18:27:48,20,,WIN,BullishreversalH
4203135334,Jump 10 Index,BUY,88218.51,88253.83,1.77,353200.00000006985,0.05,2025-04-20 18:07:48,2025-04-20 19:20:57,73,,WIN,BullishreversalH
4203162834,Volatility 10 Index,BUY,6159.892,6158.34,-0.78,-15519.999999996799,0.5,2025-04-20 18:32:26,2025-04-20 19:01:50,29,,LOSS,BullishreversalH
4203193605,Volatility 10 Index,BUY,6159.319,6158.139,-0.59,-11800.00000000291,0.5,2025-04-20 19:03:24,2025-04-20 19:38:48,35,,LOSS,BullishreversalH
4203209610,Crash 300 Index,SELL,3415.548,3460.265,-22.36,-447170.000000001,0.5,2025-04-20 19:19:37,2025-04-20 20:22:53,63,,LOSS,Bearishbreakdown
4203215651,Jump 10 Index,BUY,88156.72,88172.11,0.77,153899.99999999418,0.05,2025-04-20 19:25:56,2025-04-20 20:21:38,55,,WIN,BullishreversalH
4203273966,Jump 10 Index,BUY,88238.87,88186.02,-2.64,-528499.9999999127,0.05,2025-04-20 20:27:39,2025-04-20 21:06:08,38,,LOSS,BullishreversalH
4203285516,Crash 300 Index,SELL,3471.955,3516.465,-22.26,-445100.0000000022,0.5,2025-04-20 20:40:00,2025-04-20 22:57:02,137,,LOSS,Bearishbreakdown
4203313022,Jump 10 Index,BUY,88207.1,88164.66,-2.12,-424400.0000000233,0.05,2025-04-20 21:08:04,2025-04-20 21:20:59,12,,LOSS,BullishreversalH
4203330741,Jump 10 Index,BUY,88171.69,88117.5,-2.71,-541900.0000000233,0.05,2025-04-20 21:26:38,2025-04-20 21:34:21,7,,LOSS,BullishreversalH
4203340720,Jump 10 Index,BUY,88145.28,88157.63,0.62,123500.00000005821,0.05,2025-04-20 21:39:00,2025-04-20 22:40:21,61,,WIN,BullishreversalH
4203389099,Jump 10 Index,BUY,88156.72,88134.56,-1.11,-221600.00000003492,0.05,2025-04-20 22:40:38,2025-04-20 23:30:43,50,,LOSS,BullishreversalH
4203415844,Crash 300 Index,SELL,3511.069,3555.669,-22.3,-445999.99999999907,0.5,2025-04-20 23:15:37,2025-04-20 23:50:06,34,,LOSS,Bearishbreakdown
4203450667,Jump 10 Index,BUY,88174.84,88369.75,9.75,1949100.000000035,0.05,2025-04-21 00:01:15,2025-04-21 00:54:57,53,,WIN,BullishreversalH
4203487606,Jump 10 Index,BUY,88368.28,88378.51,0.51,102299.99999995925,0.05,2025-04-21 00:56:52,2025-04-21 02:15:51,78,,WIN,BullishreversalH
4203506621,Volatility 25 Index,SELL,2354.753,2348.992,2.88,57609.99999999967,0.5,2025-04-21 01:23:40,2025-04-21 02:54:14,90,,WIN,Bearishbreakdown
4203544433,Jump 10 Index,BUY,88393.0,88329.68,-3.17,-633200.0000000698,0.05,2025-04-21 02:19:08,2025-04-21 02:40:04,20,,LOSS,BullishreversalH
4203560500,Jump 10 Index,BUY,88297.58,88299.78,0.11,21999.999999970896,0.05,2025-04-21 02:43:46,2025-04-21 03:24:24,40,,WIN,BullishreversalH
4203567450,Volatility 25 Index,SELL,2348.214,2348.121,0.05,929.999999998472,0.5,2025-04-21 02:56:06,2025-04-21 03:28:20,32,,WIN,Bearishbreakdown
4203586227,Jump 10 Index,BUY,88319.82,88327.2,0.37,73799.99999990105,0.05,2025-04-21 03:26:57,2025-04-21 03:52:52,25,,WIN,BullishreversalH
4203589431,Volatility 25 Index,SELL,2351.431,2341.499,4.97,99320.00000000244,0.5,2025-04-21 03:33:08,2025-04-21 04:52:58,79,,WIN,Bearishbreakdown
4203601139,Jump 10 Index,BUY,88384.74,88563.66,8.95,1789199.9999999825,0.05,2025-04-21 03:57:49,2025-04-21 05:43:17,105,,WIN,BullishreversalH
4203631933,Volatility 25 Index,SELL,2341.973,2351.608,-4.82,-96350.00000000218,0.5,2025-04-21 04:53:16,2025-04-21 05:59:46,66,,LOSS,Bearishbreakdown
4203660233,Crash 300 Index,SELL,3407.163,3451.907,-22.37,-447440.0000000014,0.5,2025-04-21 05:38:25,2025-04-21 07:19:46,101,,LOSS,Bearishbreakdown
4203666285,Jump 10 Index,BUY,88508.5,88532.82,1.22,243200.00000006985,0.05,2025-04-21 05:48:42,2025-04-21 05:50:34,1,,WIN,BullishreversalH
4203670052,Jump 10 Index,BUY,88494.59,88431.91,-3.13,-626799.9999999302,0.05,2025-04-21 05:54:53,2025-04-21 06:14:28,19,,LOSS,BullishreversalH
4203673854,Volatility 25 Index,SELL,2352.051,2341.802,5.12,102489.99999999796,0.5,2025-04-21 06:01:02,2025-04-21 09:47:36,226,,WIN,Bearishbreakdown
4203688942,Jump 10 Index,BUY,88468.46,88532.05,3.18,635899.9999999651,0.05,2025-04-21 06:19:35,2025-04-21 06:47:44,28,,WIN,BullishreversalH
4203711270,Jump 10 Index,BUY,88507.27,88596.64,4.47,893699.9999999534,0.05,2025-04-21 06:50:24,2025-04-21 06:53:23,2,,WIN,BullishreversalH
4203716225,Jump 10 Index,BUY,88597.82,88610.01,0.61,121899.99999987776,0.05,2025-04-21 06:56:36,2025-04-21 06:59:08,2,,WIN,BullishreversalH
4203721195,Jump 10 Index,BUY,88587.08,88483.33,-5.19,-1037500.0,0.05,2025-04-21 07:02:47,2025-04-21 07:10:23,7,,LOSS,BullishreversalH
4203733043,Jump 10 Index,BUY,88497.0,88430.38,-3.33,-666199.9999999534,0.05,2025-04-21 07:15:08,2025-04-21 07:23:33,8,,LOSS,BullishreversalH
4203744804,Jump 10 Index,BUY,88484.56,88401.94,-4.13,-826199.9999999534,0.05,2025-04-21 07:27:29,2025-04-21 07:33:59,6,,LOSS,BullishreversalH
4203755101,Jump 10 Index,BUY,88373.4,88294.2,-3.96,-791999.9999999709,0.05,2025-04-21 07:39:49,2025-04-21 07:46:40,6,,LOSS,BullishreversalH
4203766297,Jump 10 Index,BUY,88222.73,88170.8,-2.6,-519299.99999993015,0.05,2025-04-21 07:52:11,2025-04-21 08:14:05,21,,LOSS,BullishreversalH
4203789902,Crash 300 Index,SELL,3457.212,3501.566,-22.18,-443539.99999999814,0.5,2025-04-21 08:18:57,2025-04-21 11:59:34,220,,LOSS,Bearishbreakdown
4203789944,Jump 10 Index,BUY,88177.99,88112.3,-3.2800000000000002,-656900.0000000233,0.05,2025-04-21 08:19:00,2025-04-21 08:43:31,24,,LOSS,BullishreversalH
4204010764,Volatility 25 Index,SELL,2363.26,2366.066,-1.4,-28059.999999995853,0.5,2025-04-21 11:31:56,2025-04-21 11:39:26,7,,LOSS,Bearishbreakdown
4204010852,Jump 10 Index,BUY,87825.64,87934.78,5.46,1091399.9999999942,0.05,2025-04-21 11:32:02,2025-04-21 12:01:56,29,,WIN,BullishreversalH
