symbol,direction,entry_price,size,entry_time,stop_loss,take_profit,exit_price,exit_time,exit_reason,pnl,signal_time,month,day
Volatility 10 Index,buy,6431.993,1.0,2025-01-02 13:30:00,6419.429207,6457.0515860000005,6419.429207,2025-01-02 14:15:00,stop_loss,-12.56379300000026,2025-01-02 13:15:00,2025-01,2025-01-02
Volatility 10 Index,buy,6433.839,1.0,2025-01-02 13:45:00,6419.429207,6457.0515860000005,6419.429207,2025-01-02 14:15:00,stop_loss,-14.409792999999809,2025-01-02 13:30:00,2025-01,2025-01-02
Volatility 10 Index,buy,6422.746,1.0,2025-01-01 20:45:00,6407.47183965,6453.399320699999,6407.47183965,2025-01-02 20:30:00,stop_loss,-15.274160349999875,2025-01-01 20:30:00,2025-01,2025-01-02
Volatility 10 Index,buy,6419.792,1.0,2025-01-01 21:00:00,6407.47183965,6453.399320699999,6407.47183965,2025-01-02 20:30:00,stop_loss,-12.320160350000151,2025-01-01 20:45:00,2025-01,2025-01-02
Volatility 10 Index,sell,6431.395,1.0,2025-01-03 00:15:00,6440.294357,6414.172286000002,6414.172286000002,2025-01-03 02:30:00,take_profit,17.222713999998632,2025-01-03 00:00:00,2025-01,2025-01-03
Volatility 10 Index,sell,6430.538,1.0,2025-01-03 00:30:00,6440.294357,6414.172286000002,6414.172286000002,2025-01-03 02:30:00,take_profit,16.36571399999775,2025-01-03 00:15:00,2025-01,2025-01-03
Volatility 10 Index,sell,6427.536,1.0,2025-01-03 01:00:00,6438.063357,6406.511286000001,6406.511286000001,2025-01-03 03:00:00,take_profit,21.02471399999922,2025-01-03 00:45:00,2025-01,2025-01-03
Volatility 10 Index,buy,6422.67,1.0,2025-01-02 17:00:00,6404.177836,6459.705328,6404.177836,2025-01-03 04:15:00,stop_loss,-18.49216400000023,2025-01-02 16:45:00,2025-01,2025-01-03
Volatility 10 Index,buy,6419.626,1.0,2025-01-02 17:15:00,6404.177836,6459.705328,6404.177836,2025-01-03 04:15:00,stop_loss,-15.44816400000036,2025-01-02 17:00:00,2025-01,2025-01-03
Volatility 10 Index,sell,6383.608,1.0,2025-01-03 09:15:00,6392.3781883,6365.908623400001,6392.3781883,2025-01-03 10:45:00,stop_loss,-8.770188299999973,2025-01-03 09:00:00,2025-01,2025-01-03
Volatility 10 Index,sell,6383.608,1.0,2025-01-03 09:30:00,6392.3781883,6365.908623400001,6392.3781883,2025-01-03 10:45:00,stop_loss,-8.770188299999973,2025-01-03 09:15:00,2025-01,2025-01-03
Volatility 10 Index,sell,6385.722,1.0,2025-01-03 07:15:00,6398.7403423,6366.8913154,6398.7403423,2025-01-03 11:45:00,stop_loss,-13.018342299999858,2025-01-03 07:00:00,2025-01,2025-01-03
Volatility 10 Index,sell,6387.108,1.0,2025-01-03 08:00:00,6397.8493423,6365.3403154,6397.8493423,2025-01-03 11:45:00,stop_loss,-10.741342299999815,2025-01-03 07:45:00,2025-01,2025-01-03
Volatility 10 Index,sell,6387.788,1.0,2025-01-03 08:15:00,6397.8493423,6365.3403154,6397.8493423,2025-01-03 11:45:00,stop_loss,-10.061342300000433,2025-01-03 08:00:00,2025-01,2025-01-03
Volatility 10 Index,sell,6385.555,1.0,2025-01-03 08:30:00,6398.2683423,6366.9803154,6398.2683423,2025-01-03 11:45:00,stop_loss,-12.713342299999567,2025-01-03 08:15:00,2025-01,2025-01-03
Volatility 10 Index,sell,6391.31,1.0,2025-01-03 11:30:00,6403.823753000001,6366.195493999999,6403.823753000001,2025-01-03 13:30:00,stop_loss,-12.513753000000179,2025-01-03 11:15:00,2025-01,2025-01-03
Volatility 10 Index,sell,6395.784,1.0,2025-01-03 11:45:00,6403.823753000001,6366.195493999999,6403.823753000001,2025-01-03 13:30:00,stop_loss,-8.039753000000928,2025-01-03 11:30:00,2025-01,2025-01-03
Volatility 10 Index,sell,6397.575,1.0,2025-01-03 12:30:00,6408.954753,6375.724493999999,6408.954753,2025-01-03 16:30:00,stop_loss,-11.379753000000164,2025-01-03 12:15:00,2025-01,2025-01-03
Volatility 10 Index,sell,6396.739,1.0,2025-01-03 12:45:00,6408.954753,6375.724493999999,6408.954753,2025-01-03 16:30:00,stop_loss,-12.215753000000404,2025-01-03 12:30:00,2025-01,2025-01-03
Volatility 10 Index,sell,6399.497,1.0,2025-01-03 14:00:00,6410.085753,6377.5604939999985,6410.085753,2025-01-03 17:00:00,stop_loss,-10.588752999999997,2025-01-03 13:45:00,2025-01,2025-01-03
Volatility 10 Index,sell,6396.991,1.0,2025-01-03 14:15:00,6410.085753,6377.5604939999985,6410.085753,2025-01-03 17:00:00,stop_loss,-13.09475300000031,2025-01-03 14:00:00,2025-01,2025-01-03
